                    CATÁLOGO NACIONAL DE BIENES MUEBLES DEL ESTADO


GRUPO GENÉRICO    04: AGRÍCOLA Y PESQUERO
CLASE             22: EQUIPO

 N°     CÓDIGO                                             DENOMINACIÓN   UNIDAD
823   53221746   CAMARA PARA ANALIZAR GASES ARTERIALES                        Unidad
824   53221751   CAMARA PARA CONSERVACION DE CADAVERES                        Unidad
825   53221763   CAMARA PARA LECTURA DE MUESTRAS DE SANGRE                    Unidad
826   53221774   CAMARA PARA MICROFOTOGRAFIA                                  Unidad
827   53221785   CAMARA PARA NITROGENO                                        Unidad
828   53221790   CAMARA PARA RECUPERACION ANTIGENICA                          Unidad
829   53221796   CAMARA RETINAL                                               Unidad
830   53221803   CAMILLA TERMOMASAJEADORA                                     Unidad
831   53221810   CAMPANA PARA ANAEROBIOSIS                                    Unidad
832   53221834   CAMPIMETRO                                                   Unidad
833   53221859   CAPNOGRAFO                                                   Unidad
834   53221954   CARDIO MONITOR - MONITOR CARDIACO                            Unidad
835   53221960   CARDIOPROCESADOR                                             Unidad
836   53221966   CARDIOSCOPIO                                                 Unidad
837   53221990   CARPA DE OXIGENOTERAPIA                                      Unidad
838   53222002   CAUTERIZADOR                                                 Unidad
839   53222025   CENTRAL DEL SISTEMA DE MONITORES                             Unidad
840   53222039   CENTRIFUGA PARA PLACAS                                       Unidad
841   53222049   CENTRIFUGA PARA TUBOS                                        Unidad
842   53222059   CENTRIFUGA PARA BOLSAS DE SANGRE                             Unidad
843   53222069   CENTRIFUGA PARA MICRO HEMATOCRITO                            Unidad
844   53222079   CENTRIFUGA REFRIGERADA                                       Unidad
845   53222089   CINEANGIOGRAFO                                               Unidad
846   53222094   CIRCUITO INTRA OCULAR COMPUTARIZADO                          Unidad
847   53222099   CISTOMETRO                                                   Unidad
848   53222109   CISTOPANENDOSCOPIO                                           Unidad
849   53222119   CISTOSCOPIO                                                  Unidad
850   53222129   CITOCENTRIFUGA                                               Unidad
851   53222144   CITOMETRO DE FLUJO                                        Unidad
852   53222147   CLORIDROMETRO                                             Unidad
853   53222151   COAGULADOR ENDOSCOPICO                                    Unidad
854   53222154   COLCHON INFLABLE CON BOMBA                                Unidad
855   53222158   COLEDOFIBROSCOPIO                                         Unidad
856   53222161   COLESTEROMETRO DIGITAL                                    Unidad
857   53222165   COLONOFIBROSCOPIO                                         Unidad
858   53222172   COLONOSCOPIO                                              Unidad
859   53222179   COLONOVIDEOENDOSCOPIO                                     Unidad
860   53222191   COLOREADOR DE LAMINAS                                     Unidad
861   53222239   COLPOSCOPIO                                               Unidad
862   53222251   COLUMNA DE GASES                                          Unidad
863   53222263   COMANDO ELECTRONICO PARA MICROFOTOGRAFIA                  Unidad
864   53222287   COMPRESORA DE AIRE PARA USO MEDICO (OTROS)                Unidad
865   53222293   CONCENTRADOR CENTRIFUGO                                   Unidad
866   53222299   CONCENTRADOR DE OXIGENO                                   Unidad
867   53222311   CONTADOR AUTOMATICO DE CELULAS                            Unidad
868   53222335   CONTADOR MECANICO DE CELULAS                              Unidad
869   53222350   CONTRA ANGULO DENTAL                                      Unidad
870   53222366   CONTROL DE MARCAPASOS                                     Unidad
871   53222381   COORDINADOR DE CUPPERS                                    Unidad
872   53222397   COPIADORA DE PLACAS RADIOGRAFICAS                         Unidad
873   53222413   CORTADOR AFEITADOR ELECTRICO QUIRURGICO                   Unidad
874   53222430   CORTADOR DE VIDRIO CON IRRIGACION Y ASPIRACION            Unidad
875   53222461   CORTADORA DE GASAS                                        Unidad
876   53222492   CRANEOGRAFO                                               Unidad
877   53222525   CRANEOTOMO                                                Unidad
878   53222572   CRIOCIRUGIA DE OFTALMOLOGIA                               Unidad
879   53222620   CRIOPRESERVADOR                                           Unidad
880   53222715   CRIOSTATO                                                 Unidad
881   53222739   CROMATOGRAFO                                              Unidad
882   53222745   CUANTIFICADOR DE PRUEBAS RAPIDAS DE INMUNOCROMATOGRAFIA   Unidad
883   53222751   CUENTA GOTAS ELECTRONICO                                  Unidad
884   53222763   CUNA DE CALOR RADIANTE                                    Unidad
885   53222811   DENSITOMETRO                                              Unidad
886   53222906   DERMATOMO                                                 Unidad
887   53222937   DERMATOSCOPIO                                             Unidad
888   53222952   DERMOGRAFO ELECTRICO/ELECTRONICO                          Unidad
889   53222960   DESCONGELADOR DE PLASMA                                   Unidad
890   53222968   DESECADOR                                                 Unidad
891   53223001   DESFIBRILADOR                                             Unidad
892   53223032   DESHIDRATADOR                                             Unidad
893   53223039   DESORBEDOR TERMICO PARA CROMATOGRAFIA DE GASES            Unidad
894   53223047   DESTARTARIZADOR DE ULTRASONIDO                            Unidad
895   53223063   DESTILADOR DE AGUA                                        Unidad
896   53223096   DETECTOR DE LATIDOS                                       Unidad
897   53223191   DETECTOR FETAL                                            Unidad
898   53223334   DIGESTOR                                                  Unidad
899   53223336   DIGITALIZADOR                                             Unidad
900   53223337   DILUIDOR GRAVIMETRICO DE LABORATORIO                      Unidad
901   53223339   DIPLOSCOPIO                                               Unidad
902   53223340   DISPENSADOR AUTOMATICO DE CUBRE ZAPATOS                   Unidad
903   53223342   DISOLUTOR                                                 Unidad
904   53223343   DISPENSADOR AUTOMATICO DE MEDIOS DE CULTIVO               Unidad
905   53223344   DISPENSADOR DIGITAL DE LIQUIDOS O SOLUCIONES              Unidad
906   53223345   DISPENSADOR DE PARAFINA                                   Unidad
907   53223346   DISPENSADOR DE SOLUCION CON PEDAL                         Unidad
908   53223347   DISPENSADOR PIPETEADOR AUTOMATICO                         Unidad
909   53223348   DUGLASCOPIO                                               Unidad
910   53223349   DUODENOFIBROSCOPIO                                        Unidad
911   53223350   DUCTOSCOPIO                                               Unidad
912   53223351   DUODENOSCOPIO                                                  Unidad
913   53223354   DUOEDENOVIDEOENDOSCOPIO                                        Unidad
914   53223357   DUPLICADORA DE RADIOGRAFIAS                                    Unidad
915   53223363   ECOANOSCOPIO                                                   Unidad
916   53223369   ECOCARDIOGRAFO COMPUTARIZADO                                   Unidad
917   53223382   ELECTROBISTURI                                                 Unidad
918   53223429   ELECTROCARDIOFONOGRAFO                                         Unidad
919   53223477   ELECTROCARDIOGRAFO                                             Unidad
920   53223524   ELECTROCARDIOGRAFO COMPUTARIZADO                               Unidad
921   53223572   ELECTROCAUTERIO                                                Unidad
922   53223603   ELECTROCOCLEOGRAFO                                             Unidad
923   53223634   ELECTRODERMATOMO                                               Unidad
924   53223667   ELECTROENCEFALOGRAFO                                           Unidad
925   53223672   ELECTROFORESIS COMPUTARIZADO                                   Unidad
926   53223677   ELECTROFOTOMETRO                                               Unidad
927   53223682   ELECTROMIOGRAFO                                                Unidad
928   53223687   ELECTROMIOGRAFO Y POTENCIALES EVOCADOS                         Unidad
929   53223692   ELECTRORETINOGRAFO                                             Unidad
930   53223694   ELEVADOR PORTATIL DE PACIENTE                                  Unidad
931   53223697   ENCAPSULADORA AUTOMATICA                                       Unidad
932   53223699   ENCAPSULADORA MANUAL                                           Unidad
933   53223702   ENDOSCOPIO                                                     Unidad
934   53223703   ENTRENADOR PARA ATENCION DE LA TRAQUEOSTOMIA                   Unidad
935   53223704   ENTRENADOR PARA AUTOEXAMINACION DE MAMAS                       Unidad
936   53223705   ENTRENADOR PARA LIMPIEZA Y CAMBIO DE APOSITOS DE ULCERAS       Unidad
937   53223707   EQUIPO ABLANDADOR DE AGUA                                      Unidad
938   53223708   EQUIPO BASICO DE ESTEREOTAXIA                                  Unidad
939   53223709   EQUIPO CALENTADOR TELESCOPICO                                  Unidad
940   53223710   EQUIPO CEFALORAQUIDEO                                          Unidad
941   53223711   EQUIPO AUTOMATIZADO DETECCION DE PATOGENOS                     Unidad
942   53223712   EQUIPO BIOANALIZADOR                                           Unidad
943   53223713   EQUIPO AUTOMATIZADO DETECCION DE SENSIBILIDAD ANTIMICROBIANA   Unidad
944   53223738   EQUIPO COMPARADOR DE HUELLAS                                   Unidad
945   53223750   EQUIPO COMPARADOR PORTATIL PARA PRUEBAS                        Unidad
946   53223756   EQUIPO CONECTOR ESTERIL DE TUBULADURA                          Unidad
947   53223759   EQUIPO DE ALTA FRECUENCIA FACIAL PORTATIL                      Unidad
948   53223763   EQUIPO DE ANESTESIA                                            Unidad
949   53223794   EQUIPO DE ANGIOPLASTIA                                         Unidad
950   53223809   EQUIPO DE AUTOCOLORACION                                       Unidad
951   53223825   EQUIPO DE BETATERAPIA                                          Unidad
952   53223833   EQUIPO DE BIOFISICA COMPUTARIZADO                              Unidad
953   53223837   EQUIPO DE BIOIMPEDANCIA                                        Unidad
954   53223841   EQUIPO DE BRAQUITERAPIA                                        Unidad
955   53223858   EQUIPO DE CALEFACCION PARA RECIEN NACIDO                       Unidad
956   53223869   EQUIPO DE CARBOXITERAPIA                                       Unidad
957   53223881   EQUIPO DE CATETERISMO                                          Unidad
958   53223905   EQUIPO DE CAVITRON                                             Unidad
959   53224000   EQUIPO DE CIRUGIA POR ARTROSCOPIA                              Unidad
960   53224048   EQUIPO DE COAGULACION                                          Unidad
961   53224053   EQUIPO DE COBALTOTERAPIA                                       Unidad
962   53224059   EQUIPO DE CRIOCIRUGIA                                          Unidad
963   53224071   EQUIPO DE CRIOTERAPIA                                          Unidad
964   53224094   EQUIPO DE DERMABRACION                                         Unidad
965   53224117   EQUIPO DE DIATERMIA                                            Unidad
966   53224143   EQUIPO DE DISTRIBUCION DE AIRE COMPRIMIDO                      Unidad
967   53224190   EQUIPO DE DRENAJE                                              Unidad
968   53224214   EQUIPO DE ELECTROACUPUNTURA                                    Unidad
969   53224226   EQUIPO DE ELECTROANALGESIA                                     Unidad
970   53224238   EQUIPO DE ELECTROCOAGULACION                                   Unidad
971   53224334   EQUIPO DE ELECTROFORESIS                                       Unidad
972   53224381   EQUIPO DE ELECTROLISIS TERAPEUTICO                             Unidad
 973   53224397   EQUIPO DE ELECTROTERAPIA DE CORRIENTES MULTIPLES    Unidad
 974   53224405   EQUIPO DE ENDOSCOPIA                                Unidad
 975   53224413   EQUIPO DE ERGOMETRIA                                Unidad
 976   53224429   EQUIPO DE ESPECTROPAOTOMETER                        Unidad
 977   53224477   EQUIPO DE FISIOTERAPIA                              Unidad
 978   53224482   EQUIPO DE FLEBOGRAFIA                               Unidad
 979   53224488   EQUIPO DE FLUORESCENCIA                             Unidad
 980   53224489   EQUIPO DE FONOCARDIOGRAFIA                          Unidad
 981   53224491   EQUIPO DE FOTOMICROSCOPIA                           Unidad
 982   53224494   EQUIPO DE FOTOPOLIMERIZACION                        Unidad
 983   53224500   EQUIPO DE FOTOROENTGEN                              Unidad
 984   53224524   EQUIPO DE FOTOTERAPIA                               Unidad
 985   53224537   EQUIPO DE GAMMATERAPIA                              Unidad
 986   53224550   EQUIPO DE HEMODIALISIS                              Unidad
 987   53224563   EQUIPO DE HEMODINAMICA                              Unidad
 988   53224566   EQUIPO DE HIBRIDACION REVERSA                       Unidad
 989   53224569   EQUIPO DE HIDROTRACK                                Unidad
 990   53224576   EQUIPO DE HIPOTERMIA                                Unidad
 991   53224579   EQUIPO DE HISTEROSALPINGOGRAFIA                     Unidad
 992   53224580   EQUIPO DE INMUNOHEMATOLOGIA                         Unidad
 993   53224582   EQUIPO DE LAPAROSCOPIA                              Unidad
 994   53224585   EQUIPO DE LAPAROSCOPIA E HISTEROSCOPIA              Unidad
 995   53224589   EQUIPO DE MAGNETOTERAPIA                            Unidad
 996   53224590   EQUIPO DE MEDICION DE CUBITO CARDIACO               Unidad
 997   53224591   EQUIPO DE NEUMOPELVIGRAFIA                          Unidad
 998   53224593   EQUIPO DE NEUMOPERITONEO AUTOMATICO                 Unidad
 999   53224594   EQUIPO DE NEUROCIRUGIA PARA GRABAR DATOS            Unidad
1000   53224595   EQUIPO DE OSMOSIS                                   Unidad
1001   53224602   EQUIPO DE OSMOSIS REVERSA                           Unidad
1002   53224619   EQUIPO DE OXIGENOTERAPIA                            Unidad
1003   53224634   EQUIPO DE PROFILAXIA                                Unidad
1004   53224650   EQUIPO DE RADIODIAGNOSTICO                          Unidad
1005   53224681   EQUIPO DE RADIOTERAPIA                              Unidad
1006   53224697   EQUIPO DE RADIOVISIOGRAFIA                          Unidad
1007   53224714   EQUIPO DE RAYOS LASER                               Unidad
1008   53224722   EQUIPO DE RAYOS X DENTAL                            Unidad
1009   53224730   EQUIPO DE RAYOS X PARA RADIOGRAFIA Y FLUOROSCOPIA   Unidad
1010   53224734   EQUIPO DE RESECCION TRANSVERSAL                     Unidad
1011   53224738   EQUIPO DE RESONANCIA MAGNETICA                      Unidad
1012   53224742   EQUIPO DE SIALOGRAFIA                               Unidad
1013   53224746   EQUIPO DE SUCCION E IRRIGACION                      Unidad
1014   53224754   EQUIPO DE SUCCION ENDOSCOPICA                       Unidad
1015   53224756   EQUIPO DE TELETERMOMETRO                            Unidad
1016   53224758   EQUIPO DE THEREAD MILL                              Unidad
1017   53224762   EQUIPO DE TRACCION (OTROS)                          Unidad
1018   53224766   EQUIPO DE TRACCION CEFALICA                         Unidad
1019   53224770   EQUIPO DE TRACCION CERVICAL                         Unidad
1020   53224774   EQUIPO DE TRACCION CERVICAL Y LUMBAR                Unidad
1021   53224778   EQUIPO DE TRACCION LUMBAR                           Unidad
1022   53224785   EQUIPO DE VIDEO CIRUGIA ENDOSCOPICA PARA UROLOGIA   Unidad
1023   53224786   EQUIPO DE TRACCION PELVICA                          Unidad
1024   53224787   EQUIPO DE VIDEO FOTOGRAFIA                          Unidad
1025   53224788   EQUIPO DE VIDEO PARA CIRUGIA TORACICA               Unidad
1026   53224789   EQUIPO DESTRUCTOR DE AGUJAS                         Unidad
1027   53224794   EQUIPO DOPPLER DE FLUJO INTRACRANEAL                Unidad
1028   53224802   EQUIPO DOPPLER VASCULAR                             Unidad
1029   53224810   EQUIPO DOSIFICADOR DE PRODUCTOS QUIMICOS            Unidad
1030   53224857   EQUIPO DUALTIMER                                    Unidad
1031   53224905   EQUIPO ECOCARDIOGRAFO                               Unidad
1032   53225000   EQUIPO ECOGRAFO - ULTRASONIDO                       Unidad
1033   53225015   EQUIPO ELECTROGALVANA                               Unidad
1034   53225030   EQUIPO ELECTRONISTAGNIOMETRO                                   Unidad
1035   53225047   EQUIPO ELIMINADOR DE PIROGENOS                                 Unidad
1036   53225095   EQUIPO ENCEFALOGRAFO                                           Unidad
1037   53225142   EQUIPO ENDOLASER                                               Unidad
1038   53225190   EQUIPO ENEFALOGRAFO                                            Unidad
1039   53225286   EQUIPO ESTIMULANTE - ELECTROSHOCK                              Unidad
1040   53225381   EQUIPO FOTOLLAMA                                               Unidad
1041   53225388   EQUIPO IRRIGADOR NASAL PULSATIL                                Unidad
1042   53225396   EQUIPO LASERPUNTURA                                            Unidad
1043   53225412   EQUIPO LAVADOR QUIRURGICO DE MANO EN ESPUMA                    Unidad
1044   53225443   EQUIPO LOCALIZADOR DE BANGESTER                                Unidad
1045   53225459   EQUIPO MICRONEBULIZADOR                                        Unidad
1046   53225476   EQUIPO MICRO CENTRIFUGA                                        Unidad
1047   53225523   EQUIPO MULTIFUNCIONAL DE PSICOMOTRICIDAD                       Unidad
1048   53225547   EQUIPO NAVEGADOR DETECTOR DE CANCER                            Unidad
1049   53225571   EQUIPO NEBULIZADOR                                             Unidad
1050   53225666   EQUIPO ODONTOGRAFICO                                           Unidad
1051   53225762   EQUIPO OFTALMOLOGIA                                            Unidad
1052   53225793   EQUIPO PARA ARTROSIS                                           Unidad
1053   53225800   EQUIPO PARA BAÑO DE FLOTACION                                  Unidad
1054   53225801   EQUIPO PARA CIRUGIA ENDOSCOPICA NASAL Y DE SENOS PARANASALES   Unidad
1055   53225802   EQUIPO PARA DETERMINACION DE FLUJO                             Unidad
1056   53225803   EQUIPO PARA DIAGNOSTICO DENTAL                                 Unidad
1057   53225804   EQUIPO PARA ENUCLEACION                                        Unidad
1058   53225806   EQUIPO PARA DIAGNOSTICO MOLECULAR                              Unidad
1059   53225808   EQUIPO PARA FABRICACION DE CONCENTRADOS PARA HEMODIALISIS      Unidad
1060   53225824   EQUIPO PARA IMPLANTOLOGIA                                      Unidad
1061   53225840   EQUIPO PARA LABORATORIO DE SUEÑO                               Unidad
1062   53225848   EQUIPO PARA MAMOGRAFIA                                         Unidad
1063   53225850   EQUIPO PARA MOVIMIENTO PASIVO CONTINUO                         Unidad
1064   53225852   EQUIPO PARA NEUROCIRUGIA ESTEREOTACTICA                        Unidad
1065   53225854   EQUIPO PARA PREPARAR MEDIOS DE CULTIVO                         Unidad
1066   53225857   EQUIPO PARA PROCESAR HEMATOCRITO                               Unidad
1067   53225880   EQUIPO PARA PRUEBA DE ELISA                                    Unidad
1068   53225883   EQUIPO PARA PRUEBA DE ESFUERZO COMPUTARIZADO                   Unidad
1069   53225886   EQUIPO PARA PRUEBA PCR EN TIEMPO REAL                          Unidad
1070   53225889   EQUIPO PARA PRUEBAS DE POTENCIA ANTIBIOTICA                    Unidad
1071   53225892   EQUIPO PARA RESECCION ENDOSCOPICA DE PROSTATA                  Unidad
1072   53225904   EQUIPO PARA RESPIRACION ARTIFICIAL                             Unidad
1073   53225910   EQUIPO PARA SERIOGRAFIA                                        Unidad
1074   53225912   EQUIPO PARA TERAPIA DE ALTO FLUJO                              Unidad
1075   53225913   EQUIPO PARA TERAPIA SUBDERMICA NO INVASIVA - VACUUMTERAPIA     Unidad
1076   53225914   EQUIPO PARA TRANSFERENCIA DE PROTEINAS DE MINIGEL/GEL          Unidad
1077   53225916   EQUIPO PERIMETRO                                               Unidad
1078   53225928   EQUIPO PERIMETRO COMPUTARIZADO                                 Unidad
1079   53225929   EQUIPO PULSOCAROTIDO                                           Unidad
1080   53225930   EQUIPO RAQUICENTESIS                                           Unidad
1081   53225931   EQUIPO RECUPERADOR INTRAVASCULAR                               Unidad
1082   53225932   EQUIPO URETRORENOFIBROSCOPIO                                   Unidad
1083   53225934   EQUIPO URETROTOMO                                              Unidad
1084   53225940   EQUIPO VITREOFAGO                                              Unidad
1085   53225952   ESOFAGOFIBROSCOPIO                                             Unidad
1086   53225957   ESOFAGOSCOPIO                                                  Unidad
1087   53225962   ESPECTRODENSIMETRO                                             Unidad
1088   53225972   ESPECTROSCOPIO                                                 Unidad
1089   53225984   ESPIROGRAFO                                                    Unidad
1090   53226016   ESPIROMETRO                                                    Unidad
1091   53226020   ESTACION DE TRABAJO DE FLUJO LAMINAR                           Unidad
1092   53226024   ESTACION DE TRABAJO PARA ESTERILIZACION                        Unidad
1093   53226026   ESPOSIMETRO PARA MICROSCOPIO                                   Unidad
1094   53226027   ESQUIASCOPIO                                                   Unidad
1095   53226028   ESTACION DE RECUBRIMIENTO                     Unidad
1096   53226029   ESTACION DE INCLUSION INTEGRADA               Unidad
1097   53226030   ESTACION DE TRABAJO PARA PATOLOGIA            Unidad
1098   53226031   ESTACION PARA INVESTIGACION HOLTER            Unidad
1099   53226033   ESTACION PARA PREPARAR SOLUCIONES             Unidad
1100   53226036   ESTEREOCOLPOSCOPIO                            Unidad
1101   53226047   ESTERILIZADOR                                 Unidad
1102   53226070   ESTERILIZADOR DE GASES                        Unidad
1103   53226094   ESTERNOTOMO                                   Unidad
1104   53226142   ESTIMULADOR ELECTRICO                         Unidad
1105   53226190   ESTIMULADOR TRANSCUTANEO                      Unidad
1106   53226214   ESTISCOPIO                                    Unidad
1107   53226238   ESTUFA                                        Unidad
1108   53226269   ESTUFA ESTERILIZADA                           Unidad
1109   53226276   EUTOSCOPIO                                    Unidad
1110   53226284   EVAPORIZADOR DE PIEL                          Unidad
1111   53226300   EXPANSOR DE PIEL                              Unidad
1112   53226316   EXTRACTOR AL VACIO EN FASE SOLIDA             Unidad
1113   53226333   EXTRACTOR DE PLASMA                           Unidad
1114   53226340   EXTRACTOR ELECTRICO DE VACIO                  Unidad
1115   53226348   EXTRACTOR OFTALMOLOGICO DE CUERPOS EXTRAÑOS   Unidad
1116   53226363   FACOEMULSIFICADOR                             Unidad
1117   53226366   FANTOMA DE ACREDITACION PARA MAMOGRAFIA       Unidad
1118   53226370   FANTOMA DE AGUA                               Unidad
1119   53226378   FARINGOSCOPIO                                 Unidad
1120   53226393   FETOSCOPIO                                    Unidad
1121   53226400   FIBROLARINGOSCOPIO                            Unidad
1122   53226408   FIBROMETRO                                    Unidad
1123   53226418   FIBROPANEBDOSCOPIO                            Unidad
1124   53226428   FIBROSCOPIO - BRONCOFIBROSCOPIO               Unidad
1125   53226435   FIBROSIGMOIDOSCOPIO                           Unidad
1126   53226437   FIJADOR DE CRANEO                             Unidad
1127   53226439   FILTRO MULTIPLE - MANIFOLD                    Unidad
1128   53226443   FLOTADOR DE TEJIDO                            Unidad
1129   53226458   FLUOROSCOPIO OFTALMOLOGICO                    Unidad
1130   53226465   FONOCARDIOGRAFO                               Unidad
1131   53226473   FOROPTERO                                     Unidad
1132   53226488   FOTOCOAGULADOR                                Unidad
1133   53226503   FOTOCOLIMETRO                                 Unidad
1134   53226513   FOTOFLUOROGRAFIA                              Unidad
1135   53226518   FOTOSCOPIO                                    Unidad
1136   53226520   FRESADORA UNIVERSAL PARA USO MEDICO           Unidad
1137   53226523   FRONTO LUZ                                    Unidad
1138   53226524   FUENTE DE ILUMINACION FORENSE                 Unidad
1139   53226526   FUENTE DE LUZ FRIA                            Unidad
1140   53226529   FUENTE DE LUZ HALOGENA                        Unidad
1141   53226534   FUENTE ELECTROQUIRURGICA                      Unidad
1142   53226546   GASTROCAMARA                                  Unidad
1143   53226569   GASTROFIBROSCOPIO                             Unidad
1144   53226592   GASTROSCOPIO                                  Unidad
1145   53226618   GASTROVIDEOENDOSCOPIO                         Unidad
1146   53226629   GENERADOR MOVIL AUTOMATICO DE AEROSOL         Unidad
1147   53226641   GRUA PARA PACIENTE                            Unidad
1148   53226647   HEMOBASCULA DIGITAL PROGRAMABLE               Unidad
1149   53226653   HEMOCRON                                      Unidad
1150   53226665   HEMOGLOBINOMETRO                              Unidad
1151   53226673   HIDROCOLECTOR                                 Unidad
1152   53226675   HIDROMASAJEADOR DE PIES                       Unidad
1153   53226677   HISTEROFLATOR                                 Unidad
1154   53226681   HISTEROSCOPIO                                 Unidad
1155   53226689   HOMOGENIZADOR                                 Unidad
1156   53226701   HOMOGENIZADOR ULTRASONICO                           Unidad
1157   53226713   HORNO DE ESTERILIZACION Y PRESION                   Unidad
1158   53226737   HORNO ELECTRICO PARA PROTESIS                       Unidad
1159   53226749   ILUMINADOR DE VENAS                                 Unidad
1160   53226761   IMPACTOR EXTRACTOR                                  Unidad
1161   53226773   IMPRESORA LASER PARA PELICULA RADIOGRAFICA          Unidad
1162   53226785   INCINERADOR DE BACTERIAS                            Unidad
1163   53226809   INCINERADOR DE SOLIDOS                              Unidad
1164   53226904   INCUBADORA DE LABORATORIO (OTROS)                   Unidad
1165   53226951   INCUBADORA ESTANDAR DE TRANSPORTE                   Unidad
1166   53226999   INCUBADORA PARA BEBES - INCUBADORA PARA NEONATOS    Unidad
1167   53227010   INFILTRADOR DE PARAFINA AL VACIO                    Unidad
1168   53227022   INFUSOR A PRESION                                   Unidad
1169   53227046   INSUFLADOR TUBARICO                                 Unidad
1170   53227048   INSUFLADOR ELECTRONICO DE CO2                       Unidad
1171   53227050   INTEGRADOR REGISTRADOR                              Unidad
1172   53227054   INTESTINOSCOPIO                                     Unidad
1173   53227062   INYECTOR DE JERINGAS                                Unidad
1174   53227070   INYECTOR LINFOGRAFICO                               Unidad
1175   53227074   INYECTOR PARA ESCLEROTERAPIA                        Unidad
1176   53227076   IRISCOPIO PORTATIL                                  Unidad
1177   53227077   IRRADIADOR DE COMPONENTES SANGUINEOS                Unidad
1178   53227078   IRRIGADOR DE CALOR - ELECTRONISTAGMOGRAFO           Unidad
1179   53227086   JERINGA ELECTRICA CON SISTEMA DE MONITOREO          Unidad
1180   53227088   KEROTOMO ELECTRICO                                  Unidad
1181   53227090   LABORATORIO PORTATIL                                Unidad
1182   53227094   LAMPARA CIALITICA                                   Unidad
1183   53227117   LAMPARA DE HENDIDURA                                Unidad
1184   53227140   LAMPARA DE LUZ HALOGENA                             Unidad
1185   53227141   LAMPARA RODABLE TIPO CUELLO GANSO CON LUZ LED       Unidad
1186   53227151   LAMPARA DE WOOD                                     Unidad
1187   53227163   LAMPARA FOTOCURADO                                  Unidad
1188   53227182   LAMPARA INCANDESCENTE                               Unidad
1189   53227189   LAMPARA ULTRAVIOLETA - INFRARROJA                   Unidad
1190   53227194   LAPAROFLATOR ELECTRONICO                            Unidad
1191   53227199   LAPAROSCOPIO                                        Unidad
1192   53227209   LARINGOSCOPIO                                       Unidad
1193   53227210   LARINGOSTROBOSCOPIO                                 Unidad
1194   53227211   LAVADOR A VAPOR DE INSTRUMENTAL QUIRURGICO          Unidad
1195   53227214   LAVADOR AGITADOR PARA PRUEBAS DE WESTERN BLOT       Unidad
1196   53227217   LAVADOR AUTOMATICO DE ENDOSCOPIOS                   Unidad
1197   53227220   LAVADOR AUTOMATICO DE PIPETAS                       Unidad
1198   53227228   LAVADOR DE MICROPLACAS                              Unidad
1199   53227236   LAVADOR SECADOR DE JERINGAS                         Unidad
1200   53227244   LAVADORA AUTOMATICA DE PLACAS                       Unidad
1201   53227251   LAVADOR ULTRASONIDO                                 Unidad
1202   53227252   LAVADORA DE COCHE DE USO MEDICO                     Unidad
1203   53227260   LAVADORA DE GUANTES                                 Unidad
1204   53227268   LAVADORA DE MATERIAL DE LABORATORIO                 Unidad
1205   53227276   LAVADORA DE MICROPLACAS PARA ELISA                  Unidad
1206   53227280   LAVADORA DESINFECTADORA                             Unidad
1207   53227285   LECTOR DE MICROPLACAS                               Unidad
1208   53227332   LECTOR MULTIMODAL DE MICROPLACAS                    Unidad
1209   53227380   LECTOR PARA MICRO HEMATOCRITO                       Unidad
1210   53227428   LECTOR PARA PRUEBA DE ELISA                         Unidad
1211   53227437   LECTUROSCOPIO                                       Unidad
1212   53227446   LENSOMETRO                                          Unidad
1213   53227450   LEVANTADOR ELECTROSTATICO DE IMPRESIONES EN POLVO   Unidad
1214   53227455   LITOTRIPTOR                                         Unidad
1215   53227464   LITOTRIPTOR ULTRASONICO                             Unidad
1216   53227468   LOCALIZADOR DE APICES                               Unidad
1217   53227469   LLENADOR Y SELLADOR DE AMPOLLAS                             Unidad
1218   53227470   LOCALIZADOR DE NERVIOS PERIFERICOS PARA ANESTESIA           Unidad
1219   53227471   LUMBOSCOPIO                                                 Unidad
1220   53227472   LUMINOMETRO - ANALIZADOR DE BIOLUMINISCENCIA                Unidad
1221   53227473   LUMINOSCOPIO                                                Unidad
1222   53227474   MACRO EJE FLEXIBLE                                          Unidad
1223   53227475   MAMMO DIAGNOSTICO                                           Unidad
1224   53227490   MAMOGRAFO                                                   Unidad
1225   53227497   MANIQUI DE ENTRENAMIENTO PARA INTUBACION                    Unidad
1226   53227505   MANIQUI DE ENTRENAMIENTO PARA RESUCITACION                  Unidad
1227   53227506   MANIQUI ENTRENADOR DE REPARACION DE EPISIOTOMIA             Unidad
1228   53227507   MANIQUI ENTRENADOR ESFINTERIANO ANAL                        Unidad
1229   53227508   MANIQUI ENTRENADOR MULTIFUNCIONAL/OBSTETRICO/EMERGENCIAS    Unidad
1230   53227512   MANIQUI GERIATRICO PARA CUIDADO DEL PACIENTE                Unidad
1231   53227514   MANIQUI SIMULADOR DE PARTO MATERNO NEONATAL COMPUTARIZADO   Unidad
1232   53227516   MANIQUI SIMULADOR DE PARTO MATERNO NEONATAL CON CIANOTICO   Unidad
1233   53227517   MAQUINA DE ANESTESIA ELECTRONICA                            Unidad
1234   53227518   MAQUINA DE ANESTESIA NEUMATICA                              Unidad
1235   53227520   MAQUINA DE HIDROMASAJE                                      Unidad
1236   53227527   MAQUINA DE REPROCESO AUTOMATICO PARA REUSO DE FILTRO        Unidad
